cve_ent,nom_ent,fecha_publica,fecha_inicio,fecha_fin,color_sem,nivel
5,Coahuila de Zaragoza,19/06/2020,22/06/2020,28/06/2020,Naranja,Alto
6,Colima,19/06/2020,22/06/2020,28/06/2020,Naranja,Alto
7,Chiapas,19/06/2020,22/06/2020,28/06/2020,Rojo,Máximo
8,Chihuahua,19/06/2020,22/06/2020,28/06/2020,Naranja,Alto
9,Ciudad de México,19/06/2020,22/06/2020,28/06/2020,Rojo,Máximo
10,Durango,19/06/2020,22/06/2020,28/06/2020,Naranja,Alto
11,Guanajuato,19/06/2020,22/06/2020,28/06/2020,Naranja,Alto
12,Guerrero,19/06/2020,22/06/2020,28/06/2020,Rojo,Máximo
13,Hidalgo,19/06/2020,22/06/2020,28/06/2020,Naranja,Alto
14,Jalisco,19/06/2020,22/06/2020,28/06/2020,Naranja,Alto
15,México,19/06/2020,22/06/2020,28/06/2020,Rojo,Máximo
16,Michoacán de Ocampo,19/06/2020,22/06/2020,28/06/2020,Naranja,Alto
17,Morelos,19/06/2020,22/06/2020,28/06/2020,Rojo,Máximo
18,Nayarit,19/06/2020,22/06/2020,28/06/2020,Rojo,Máximo
19,Nuevo León,19/06/2020,22/06/2020,28/06/2020,Naranja,Alto
20,Oaxaca,19/06/2020,22/06/2020,28/06/2020,Rojo,Máximo
21,Puebla,19/06/2020,22/06/2020,28/06/2020,Rojo,Máximo
22,Querétaro,19/06/2020,22/06/2020,28/06/2020,Rojo,Máximo
23,Quintana Roo,19/06/2020,22/06/2020,28/06/2020,Naranja,Alto
24,San Luis Potosí,19/06/2020,22/06/2020,28/06/2020,Naranja,Alto
25,Sinaloa,19/06/2020,22/06/2020,28/06/2020,Rojo,Máximo
26,Sonora,19/06/2020,22/06/2020,28/06/2020,Rojo,Máximo
27,Tabasco,19/06/2020,22/06/2020,28/06/2020,Rojo,Máximo
28,Tamaulipas,19/06/2020,22/06/2020,28/06/2020,Naranja,Alto
29,Tlaxcala,19/06/2020,22/06/2020,28/06/2020,Rojo,Máximo
30,Veracruz de Ignacio de la Llave,19/06/2020,22/06/2020,28/06/2020,Rojo,Máximo
31,Yucatán,19/06/2020,22/06/2020,28/06/2020,Naranja,Alto
32,Zacatecas,19/06/2020,22/06/2020,28/06/2020,Naranja,Alto
1,Aguascalientes,26/06/2020,29/06/2020,05/07/2020,Naranja,Alto
2,Baja California,26/06/2020,29/06/2020,05/07/2020,Rojo,Máximo
3,Baja California Sur,26/06/2020,29/06/2020,05/07/2020,Naranja,Alto
4,Campeche,26/06/2020,29/06/2020,05/07/2020,Naranja,Alto
5,Coahuila de Zaragoza,26/06/2020,29/06/2020,05/07/2020,Naranja,Alto
6,Colima,26/06/2020,29/06/2020,05/07/2020,Rojo,Máximo
7,Chiapas,26/06/2020,29/06/2020,05/07/2020,Naranja,Alto
8,Chihuahua,26/06/2020,29/06/2020,05/07/2020,Naranja,Alto
9,Ciudad de México,26/06/2020,29/06/2020,05/07/2020,Naranja,Alto
10,Durango,26/06/2020,29/06/2020,05/07/2020,Naranja,Alto
11,Guanajuato,26/06/2020,29/06/2020,05/07/2020,Naranja,Alto
12,Guerrero,26/06/2020,29/06/2020,05/07/2020,Rojo,Máximo
13,Hidalgo,26/06/2020,29/06/2020,05/07/2020,Rojo,Máximo
14,Jalisco,26/06/2020,29/06/2020,05/07/2020,Naranja,Alto
15,México,26/06/2020,29/06/2020,05/07/2020,Rojo,Máximo
16,Michoacán de Ocampo,26/06/2020,29/06/2020,05/07/2020,Naranja,Alto
17,Morelos,26/06/2020,29/06/2020,05/07/2020,Rojo,Máximo
18,Nayarit,26/06/2020,29/06/2020,05/07/2020,Rojo,Máximo
19,Nuevo León,26/06/2020,29/06/2020,05/07/2020,Rojo,Máximo
20,Oaxaca,26/06/2020,29/06/2020,05/07/2020,Rojo,Máximo
21,Puebla,26/06/2020,29/06/2020,05/07/2020,Rojo,Máximo
22,Querétaro,26/06/2020,29/06/2020,05/07/2020,Naranja,Alto
23,Quintana Roo,26/06/2020,29/06/2020,05/07/2020,Naranja,Alto
24,San Luis Potosí,26/06/2020,29/06/2020,05/07/2020,Naranja,Alto
25,Sinaloa,26/06/2020,29/06/2020,05/07/2020,Rojo,Máximo
26,Sonora,26/06/2020,29/06/2020,05/07/2020,Rojo,Máximo
27,Tabasco,26/06/2020,29/06/2020,05/07/2020,Rojo,Máximo
28,Tamaulipas,26/06/2020,29/06/2020,05/07/2020,Naranja,Alto
29,Tlaxcala,26/06/2020,29/06/2020,05/07/2020,Rojo,Máximo
30,Veracruz de Ignacio de la Llave,26/06/2020,29/06/2020,05/07/2020,Naranja,Alto
31,Yucatán,26/06/2020,29/06/2020,05/07/2020,Naranja,Alto
32,Zacatecas,26/06/2020,29/06/2020,05/07/2020,Naranja,Alto
1,Aguascalientes,03/07/2020,06/07/2020,19/07/2020,Naranja,Alto
2,Baja California,03/07/2020,06/07/2020,19/07/2020,Rojo,Máximo
3,Baja California Sur,03/07/2020,06/07/2020,19/07/2020,Naranja,Alto
4,Campeche,03/07/2020,06/07/2020,19/07/2020,Naranja,Alto
5,Coahuila de Zaragoza,03/07/2020,06/07/2020,19/07/2020,Rojo,Máximo
6,Colima,03/07/2020,06/07/2020,19/07/2020,Rojo,Máximo
7,Chiapas,03/07/2020,06/07/2020,19/07/2020,Rojo,Máximo
8,Chihuahua,03/07/2020,06/07/2020,19/07/2020,Naranja,Alto
9,Ciudad de México,03/07/2020,06/07/2020,19/07/2020,Naranja,Alto
10,Durango,03/07/2020,06/07/2020,19/07/2020,Naranja,Alto
11,Guanajuato,03/07/2020,06/07/2020,19/07/2020,Rojo,Máximo
12,Guerrero,03/07/2020,06/07/2020,19/07/2020,Naranja,Alto
13,Hidalgo,03/07/2020,06/07/2020,19/07/2020,Naranja,Alto
14,Jalisco,03/07/2020,06/07/2020,19/07/2020,Naranja,Alto
15,México,03/07/2020,06/07/2020,19/07/2020,Rojo,Máximo
16,Michoacán de Ocampo,03/07/2020,06/07/2020,19/07/2020,Naranja,Alto
